"ticker","n_obs","mean_daily","sd_daily","annualized_return","annualized_volatility"
"SPY",4782,0.000480126641813916,0.0124590063727759,0.106721865791937,0.197780594672004
"QQQ",4782,0.000685929968368607,0.0140411346381459,0.159460217248075,0.222896102266254
"IWM",4782,0.000428928014101632,0.0156460971852239,0.08016889553665,0.248374092845101
"EFA",4782,0.000272337387359179,0.01371706076977,0.0459082160526321,0.21775158909343
"EEM",4782,0.000329596308788021,0.0176250561392408,0.0450640131956033,0.2797890923279
"TLT",4782,0.000168110407859579,0.00958034644685812,0.0312838575391214,0.152083285033367
"SHY",4782,7.37474574738629e-05,0.000960417557016509,0.0186391004725974,0.0152461560638753
"LQD",4782,0.000178619492614208,0.00559370807881072,0.0419195923088116,0.0887973628993564
"HYG",4782,0.000216478421041,0.00689279162077814,0.049777782881073,0.109419674805413
"GLD",4782,0.00046029410766898,0.0113452180951652,0.104866452196075,0.180099753897583
