"strategy","tcost_bps","annualized_return","annualized_volatility","return_volatility_ratio","max_drawdown","realized_es_5pct","annualized_turnover_one_way"
"SPY_Benchmark",0,0.168430765900873,0.196076210218873,0.859006636821774,-0.337172533443718,-0.0294699470204239,0
"Naive_MM_Realized22d",0,0.0533963803233466,0.151515629115246,0.352414999265404,-0.258092558661892,-0.025990043143898,5.95526478635464
"FSV_MM_Forecast22d",0,0.0706696983640485,0.142548447259682,0.495759159237341,-0.277157233425148,-0.0231645599421423,4.55937425747281
"SPY_Benchmark",5,0.168430765900873,0.196076210218873,0.859006636821774,-0.337172533443718,-0.0294699470204239,0
"Naive_MM_Realized22d",5,0.0502650130160751,0.151515551752849,0.331748209570375,-0.258588960302964,-0.0260025210035603,5.95526478635464
"FSV_MM_Forecast22d",5,0.0682313152434131,0.14255475257713,0.478632343081625,-0.277362254569389,-0.0231826973272855,4.55937425747281
