"part","strategy","tcost_bps","annualized_return","annualized_volatility","return_volatility_ratio","max_drawdown","realized_es_5pct","annualized_turnover_one_way","budget"
"Part1_SingleAsset","SPY_Benchmark",0,0.168430765900873,0.196076210218873,0.859006636821774,-0.337172533443718,-0.0294699470204239,0,NA
"Part1_SingleAsset","Naive_MM_Realized22d",0,0.0533963803233466,0.151515629115246,0.352414999265404,-0.258092558661892,-0.025990043143898,5.95526478635464,NA
"Part1_SingleAsset","FSV_MM_Forecast22d",0,0.0706696983640485,0.142548447259682,0.495759159237341,-0.277157233425148,-0.0231645599421423,4.55937425747281,NA
"Part1_SingleAsset","SPY_Benchmark",5,0.168430765900873,0.196076210218873,0.859006636821774,-0.337172533443718,-0.0294699470204239,0,NA
"Part1_SingleAsset","Naive_MM_Realized22d",5,0.0502650130160751,0.151515551752849,0.331748209570375,-0.258588960302964,-0.0260025210035603,5.95526478635464,NA
"Part1_SingleAsset","FSV_MM_Forecast22d",5,0.0682313152434131,0.14255475257713,0.478632343081625,-0.277362254569389,-0.0231826973272855,4.55937425747281,NA
"Part2_MultiAsset","Rolling_MeanVar_22d",0,0.115032334368026,0.104876184217614,1.0968394323857,-0.219015677764974,-0.0153195779544558,3.78239896543927,"pf1"
"Part2_MultiAsset","Rolling_MeanVar_22d",5,0.112929694649322,0.104848431057873,1.07707567495205,-0.220360087811969,-0.0153244492910239,3.78239896543927,"pf1"
"Part2_MultiAsset","FSV_MeanVar_22d",0,0.122958167836857,0.112958586879622,1.08852430995698,-0.208876990591173,-0.0166147104294406,2.73216655099036,"pf1"
"Part2_MultiAsset","FSV_MeanVar_22d",5,0.121428930248208,0.112934187139339,1.07521852615265,-0.210172460457792,-0.0166158713196379,2.73216655099036,"pf1"
"Part2_MultiAsset","Rolling_MeanVar_22d",0,0.120474024101701,0.127948531406339,0.941581921867472,-0.253037675589639,-0.018830050359692,4.54355092768566,"pf2"
"Part2_MultiAsset","Rolling_MeanVar_22d",5,0.11793678273728,0.127918800849614,0.921965981184663,-0.254566627941345,-0.0188350874813688,4.54355092768566,"pf2"
"Part2_MultiAsset","FSV_MeanVar_22d",0,0.129041417695459,0.137496740303691,0.938505286819481,-0.235279011309678,-0.0202573503331356,3.2356825600119,"pf2"
"Part2_MultiAsset","FSV_MeanVar_22d",5,0.127221489497209,0.137468572060913,0.925458725510272,-0.236772296321766,-0.0202587254814765,3.2356825600119,"pf2"
"Part2_MultiAsset","Rolling_MinVar_22d",0,0.0839603975487526,0.107991788936923,0.777470198199913,-0.201734679953001,-0.0159943709075927,0.982198714517288,"global_minvar"
"Part2_MultiAsset","Rolling_MinVar_22d",5,0.0834290059630762,0.10798631063044,0.772588724218889,-0.201734680602897,-0.0159943709268714,0.982198714517288,"global_minvar"
"Part2_MultiAsset","FSV_MinVar_22d",0,0.0860375197341365,0.11325340568966,0.759690352887918,-0.231793533863272,-0.016885479360566,0.490539129958428,"global_minvar"
"Part2_MultiAsset","FSV_MinVar_22d",5,0.0857716693792501,0.113250167898587,0.75736461120355,-0.231793541259532,-0.0168854793749846,0.490539129958428,"global_minvar"
