"budget","strategy","tcost_bps","annualized_return","annualized_volatility","return_volatility_ratio","max_drawdown","realized_es_5pct","annualized_turnover_one_way"
"pf1","Rolling_MeanVar_22d",0,0.115260791523954,0.104858627931753,1.09920179004222,-0.21910595239116,-0.0153207963981875,3.77836518320407
"pf1","Rolling_MeanVar_22d",5,0.113159960578151,0.104830923941406,1.079452096038,-0.220450717376689,-0.0153256678626978,3.77836518320407
"pf1","FSV_MeanVar_22d",0,0.121320881337388,0.112431994674007,1.07906011708814,-0.215747191246709,-0.0164800280189886,2.91166463389396
"pf1","FSV_MeanVar_22d",5,0.119693075904431,0.112410223008536,1.0647881722941,-0.216977166637092,-0.0164810589474022,2.91166463389396
"pf2","Rolling_MeanVar_22d",0,0.121051359313981,0.127929170009368,0.946237353881968,-0.253114410639317,-0.0188311923795794,4.53929300987506
"pf2","Rolling_MeanVar_22d",5,0.118515185563094,0.127899507949551,0.926627376939095,-0.254643655635411,-0.0188362296275017,4.53929300987506
"pf2","FSV_MeanVar_22d",0,0.126959785659891,0.136756647813868,0.928362808605026,-0.243292948817468,-0.0200629206487213,3.51454605025182
"pf2","FSV_MeanVar_22d",5,0.124985834234512,0.136732095777108,0.914092872812074,-0.244729522522376,-0.02006620381758,3.51454605025182
"global_minvar","Rolling_MinVar_22d",0,0.0839818147486224,0.107962355892924,0.777880531172503,-0.201734804016101,-0.0159943707317075,0.981628071511039
"global_minvar","Rolling_MinVar_22d",5,0.0834507210222504,0.107956882156305,0.77300047348002,-0.201734804665998,-0.0159943707509862,0.981628071511039
"global_minvar","FSV_MinVar_22d",0,0.0825829125365469,0.111582083653104,0.740109073364213,-0.224962427340268,-0.0167142352683042,0.83675234370837
"global_minvar","FSV_MinVar_22d",5,0.0821317567282791,0.111569311282125,0.736150073747369,-0.22496243329147,-0.0167142352877486,0.83675234370837
