"strategy","tcost_bps","annualized_return","annualized_volatility","return_volatility_ratio","max_drawdown","realized_es_5pct","annualized_turnover_one_way"
"SPY_Benchmark",0,0.169596648500296,0.196040885230874,0.865108562943721,-0.337172648213807,-0.0294699558816142,0
"Naive_MM_Realized22d",0,0.053743928461055,0.151477575434543,0.354797918483181,-0.258096195312001,-0.0259902011490571,5.95200975088559
"FSV_MM_Forecast22d",0,0.057619864319413,0.157717287133508,0.365336389983918,-0.31028049601803,-0.0260521021038139,5.36605209935599
"SPY_Benchmark",5,0.169596648500296,0.196040885230874,0.865108562943721,-0.337172648213807,-0.0294699558816142,0
"Naive_MM_Realized22d",5,0.0506132374854897,0.151477524038835,0.33413034578327,-0.258592590000744,-0.0260026790710492,5.95200975088559
"FSV_MM_Forecast22d",5,0.0547861836819312,0.157720050215415,0.347363468418275,-0.310458843636827,-0.0260574892403885,5.36605209935599
