"period","SPY_Benchmark","Naive_MM_Realized22d","FSV_MM_Forecast22d"
"gfc",NA,NA,NA
"covid",1,0.461538621563132,0.481716726646171
"rate_shock_2022",1,0.245056252660747,0.293410097049791
